FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
주식회사 퍼스트볼링,29,광주,29170,북구,0627100592,291704286564,광주광역시 북구 우치로257번길 17(오치동),126.9032803,35.1876892,다라456882
특공무술 국제무예원,41,경기,41130,성남시,0317478808,411333179026,경기도 성남시 중원구 희망로 356지하1층(상대원동),127.1584123,37.4374903,다사697376
한국체대 진접태권도,41,경기,41360,남양주시,0315747411,413603197067,경기도 남양주시 진접읍 해밀예당3로 526층 진접태권도,127.1985668,37.7144909,다사734683
해동검도 서울시협회,11,서울,11710,송파구,024063705,117103123021,서울특별시 송파구 새말로 1544층 해동검도체육관(문정동),127.1306209,37.4844002,다사673428
주식회사 케이원볼링 봉선점,29,광주,29155,남구,0626540925,291553161008,광주광역시 남구 봉선2로 81지하1층(봉선동),126.9152463,35.1261265,다라467813
프로보노 사회서비스 지원센터,41,경기,41480,파주시,07042589820,414803201001,경기도 파주시 가나무로 143메트로 프라자 307호(금릉동),126.7813216,37.7545487,다사366730
주식회사 디에스그룹 태전유도관,27,대구,27230,북구,0533147775,272303145046,대구광역시 북구 태전로 382층 태전유도관(태전동),128.5447510,35.9238661,라마942701
국가대표 명학태권도장,41,경기,41170,안양시,0313486988,411713182013,경기도 안양시 만안구 성결대학로 142층 명학태권도(안양동),126.9324532,37.3832664,다사497317
마포구청 당구아카데미,11,서울,11440,마포구,0231539875,114403113018,서울특별시 마포구 월드컵로 21211층 생활체육과(성산동),126.9014910,37.5663245,다사471520
아이같이 운동발달센터,44,충남,44200,아산시,0415342522,442004559218,충남 아산시 번영로224번길 372층 아이같이운동발달센터(모종동),127.0147515,36.7809687,다바567648
짐앤짐스 운동발달센터,41,경기,41610,광주시,0317158778,416104433112,경기도 광주시 오포읍 능평리 467-7,127.1635799,37.3556631,다사702285
크는아이 발달지원센터,28,인천,28237,부평구,07082851455,282373154013,인천광역시 부평구 동수천로 1323-301호(부개동),126.7372781,37.4971185,다사325444
크는아이 발달지원센터(김포점),41,경기,41570,김포시,029982760,415703209172,경기도 김포시 김포한강9로 73센트럴프라자 903호 크는아이 발달지원센터(구래동),126.6255098,37.6433496,다사228607
크는아이 발달지원센터(만수점),28,인천,28200,남동구,0241292760,282003153071,인천광역시 남동구 장승로 32태광빌딩 6층,126.7362157,37.4452194,다사324387
사단법인 경남스포츠클럽,48,경남,48120,창원시,022300165,481272330001,경상남도 창원시 마산회원구 내서읍 함마대로 2640마산대학교 10호관 중체육관,128.5040311,35.2595221,라라913964
사단법인 목포스포츠클럽,46,전남,46110,목포시,0612760502,461103281095,전라남도 목포시 영산로 413-3목포과학대학교 웰빙1관 202호(상동),126.4120056,34.8085366,다라004465
사단법인 사천스포츠클럽,48,경남,48240,사천시,028522061,482403334061,경남 사천시 용현면 대밭담로 27-21사천국민체육센터,128.0592677,35.0090166,라라510683
사단법인 용인스포츠클럽,41,경기,41460,용인시,07051720890,414653205014,경기도 용인시 수지구 신봉1로 181용인스포츠클럽(신봉동),127.0671418,37.3289344,다사616256
주식회사 시티스포츠센타,29,광주,29140,서구,0623684600,291402009006,광주광역시 서구 죽봉대로 52(농성동),126.8834675,35.1582663,다라438849
주식회사 한국파릇하우스,27,대구,27290,달서구,0536321107,272903147045,대구광역시 달서구 학산로 17402호(월성동),128.5310970,35.8275367,라마931594
더메이크 사회적협동조합 시흥지부,41,경기,41390,시흥시,07075433285,413904397300,경기도 시흥시 비둘기공원6길 13-1701호(대야동),126.7914946,37.4422659,다사373383
주식회사 하이파이브교육 문정지점,11,서울,11710,송파구,0222831779,117103350849,서울특별시 송파구 법원로 114엠스테이트 EB215호(문정동),127.1206993,37.4857987,다사664430
주식회사 하이파이브교육 방이지점,11,서울,11710,송파구,07075435006,117104169372,서울특별시 송파구 양재대로71길 1-14인수빌딩 B2층(방이동),127.1258935,37.5096851,다사669456
사단법인 글로벌보치아센터,11,서울,11590,동작구,0262647390,115904157486,"서울특별시 동작구 신대방1가길 38105-203(신대방동, 동작상떼빌아파트)",126.9067147,37.4876928,다사475433
사단법인 영월군스포츠클럽,42,강원,42750,영월군,0333751090,427504481211,강원도 영월군 영월읍 제방안길 100스포츠파크 하늘샘체육관 1층,128.4618326,37.1757536,라사853089
아이비전 아동발달연구센터,41,경기,41460,용인시,0242334001,414653205014,경기도 용인시 수지구 신봉1로 84404호 아이비전 아동발달연구센터(신봉동),127.0764975,37.3236675,다사624250
재단법인 행복북구문화재단,27,대구,27230,북구,0533205120,272303145012,대구광역시 북구 구암로 47어울아트센터 문화동1층 문화사업본부(관음동),128.5451287,35.9358673,라마942715
주식회사 티알멀티스포츠센터,41,경기,41270,안산시,0314182501,412713190075,경기도 안산시 상록구 항가울로 422층(사동),126.8472328,37.2857216,다사421209
사단법인 울산동구공공스포츠클럽,31,울산,31170,동구,0522339222,311703171003,울산광역시 동구 대송로 1402층 울산동구공공스포츠클럽(화정동),129.4226036,35.4959565,마마743239
오름동행 발달특수체육교육연구소,48,경남,48250,김해시,07075436291,482503335062,경상남도 김해시 팔판로 24팔판프라자 2층 오름동행(관동동),128.7906156,35.1774036,마라175876
"오성권투,격투기",41,경기,41130,성남시,027021282,411353180041,"경기도 성남시 분당구 야탑로 241403,404호(야탑동)",127.1453411,37.4074487,다사686343
달서복싱.이곡헬스,27,대구,27290,달서구,,272902007002,대구광역시 달서구 달구벌대로 13284층 (주)디에스그룹(이곡동),128.5125181,35.8506481,라마914620
